,long,lat,geometry,approaches,indifferent,runs_from,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
711,-73.97684509717,40.7709430375069,POINT (-73.97684509717 40.7709430375069),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
712,-73.9527924755398,40.7934366260533,POINT (-73.9527924755398 40.7934366260533),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,True
713,-73.9677751507448,40.7790990066658,POINT (-73.9677751507448 40.7790990066658),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
714,-73.9555583724966,40.7932879745739,POINT (-73.9555583724966 40.7932879745739),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
715,-73.9722281263634,40.7704083288013,POINT (-73.9722281263634 40.7704083288013),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
716,-73.9701412231078,40.7714534088899,POINT (-73.9701412231078 40.7714534088899),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,True,False,False,False
717,-73.9705370795538,40.7761725434851,POINT (-73.9705370795538 40.7761725434851),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
718,-73.9651817987035,40.7819082838334,POINT (-73.9651817987035 40.7819082838334),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
719,-73.9714512125212,40.7760275250114,POINT (-73.9714512125212 40.7760275250114),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
720,-73.9745556229855,40.7672921040998,POINT (-73.9745556229855 40.7672921040998),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
721,-73.9565260889843,40.7991807924337,POINT (-73.9565260889843 40.7991807924337),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
722,-73.9543044385367,40.7984498571338,POINT (-73.9543044385367 40.7984498571338),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
723,-73.9670904869871,40.7832091658006,POINT (-73.9670904869871 40.7832091658006),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
